Organization Name,Process Name,Focus area of request,Amount Awarded,Amount requested,Proposal  Summary,,,,,
"Special Needs Arts Programs, Inc",2015 Community Endowment of Lexington Grant Program,Arts & Culture,6000,10000,"Special Needs Arts Programs, Inc. (SNAP), a 501 c 3 nonprofit organization located in Lexington, MA, seeks a $10,000 grant from the Community Endowment of Lexington to support an expansion of our Special Artists program. SNAP’s mission is to provide people with disabilities opportunities that celebrate each person's unique abilities while cultivating creative expression, building peer relationships, and fostering self-esteem through life-enhancing activities in the arts.  This program aligns with two of the Community Endowment’s goals: it “help(s) underserved populations fully participate in community life” and it “reach(es) out and include(s) those who have limited access to arts and culture”.  

Special Artists presently serves 10 intellectually disabled adults for two six-week sessions/year and has a waiting list.  SNAP proposes to double the size of the program with this grant, allowing 10 more people to participate. The grant money would cover the teacher’s salary, supplies for the class and a portion of the Executive Director’s salary required to coordinate the program.  It would also subsidize the program fee for the participants.
 
SNAP is at a critical point in its history as it transitions from a founder-led organization to management by paid administrative staff and the next generation of board members.  Up until October 2014, Marilyn Abel and Judith Goldner, the founders of SNAP, led the organization and the board of directors did much of the behind-the-scenes work in administering and running it.  The board voted in October to hire SNAP’s first paid Executive Director in order to sustain Ms. Abel and Ms. Goldner's vision and allow SNAP to move forward.  Funding from the Community Endowment will allow SNAP to begin to expand our programming in a financially responsible fashion and to bridge our revenue goals as we ramp up our fundraising.",,,,,
English at Large,2015 Community Endowment of Lexington Grant Program,Community Building,0,7500,"Funding from CEL will support the following English At Large programs in Lexington: 

One-on-One Tutoring
A program providing individualized English instruction, which allows learners to progress at their own rate. Learners and tutors meet for two hours each week at a convenient time and public location. 

Conversation Groups
Small, supportive groups led by volunteers offer intermediate to advanced English speakers the opportunity to practice their skills. Conversation groups meet weekly in local libraries or other community spaces.",,,,,
Communities for Restorative Justice,2015 Community Endowment of Lexington Grant Program,Community Building,7000,10000,"Communities for Restorative Justice (C4RJ) is a community–police partnership that has twelve (12) partner police departments who identify cases that can be resolved through restorative justice rather than proceeding with criminal charges. Lexington Police Department (LPD) joined C4RJ in 2014 and our goal for this proposal is to increase awareness of restorative justice in Lexington.  This will in turn result in more involvement of Lexington residents as C4RJ volunteers as well as higher case referrals from the LPD. As a community–police partnership that responds to crimes by bringing the impacted parties together to discuss the harm, we are an innovative collaboration that meets the Community Endowment of Lexington’s (CEL) goals for Lexington citizens by making life healthier, more enjoyable, and safer.

Program- Restorative justice focuses on bringing parties together after a harm to discuss who was impacted, whose responsibility it is to repair the damage, and how we can make things as right as possible. Most case referrals involve a young offender. In 2014, 83% of our referrals were under 21. Our process gives voice to those affected by wrongdoing while providing support to the victim, community, and the offender. We use a strengths-based approach to provide offenders the opportunity to learn about the effects of their decisions.  Our program helps them emerge with dignity and improved decision-making skills.  

Project- C4RJ will use an award from the Community Endowment of Lexington for general operating funds.  We aim to increase our presence and gain stakeholders in Lexington. C4RJ staff will train police officers and also raise awareness in the community by hosting events to build awareness. These outreach programs are essential to recruit volunteers and board members, to educate residents, and to develop our donor network. This process is the key to maintaining a sustainable model with a reliable flow of case referrals and funding.",,,,,
Greater Boston PFLAG,2015 Community Endowment of Lexington Grant Program,Health & Human Services,0,5000,"We would like to bring our Safe Schools and Communities (SSC) Program to the Town of Lexington.  

Our award-winning SSC Program typically involves sending in trained facilitators along with speakers, to create a safe environment where people can learn through other's personal stories/experiences, where questions can be asked and answered, and where attendees leave feeling more prepared to support LGBTQ individuals and in order to create safer environments. Support and education for parents, educators, service providers and others in the community is the vital link to LGBTQ youth that needs to be addressed.

A $5,000 grant would allow us to offer 4 extended programs to the Town of Lexington.  We propose offering a full-day of workshops for the high school (FYI: we offered 180 trainings in MA high schools last year alone), a full-day of in-service trainings for school district faculty and/of staff, and two different community events for parents/families.  As mentioned below (in ""Nature of Collaboration"" section), the goal of these programs is for participants to learn how to create environments that are LGBTQ-welcoming and inclusive, how to be supportive of LGBTQ people, how to stand up as an ally, how to prevent bullying, and to become aware of the various types of ongoing support offered by Greater Boston PFLAG, should people want to participate in support groups, as volunteer speakers/educators, etc.

We would work with the various town leaders, in the school system, community center, etc., to come up with the best programs that would meet the needs of the various audiences we would be meeting with.",,,,,
F.U.S.E. Preschool,2015 Community Endowment of Lexington Grant Program,Health & Human Services,0,10000,"The FUSE Preschool is a local community based early education setting for children with a variety of special needs.  All children entering our program have both social and emotional challenges.  We specifically need more sensory motor equipment both inside and outside to better serve these children.  The diagnosis might vary from Autism, ADHD, anxiety, or sensory integration disorder but their primary need for sensory regulation permeates all diagnosis as the catalyst for positive social engagement.  We have a highly trained occupational therapist who is specially trained in sensory integration and she has specific recommendations that would enhance our program. 

The equipment purchased from this grant would also be used by our after school program which serves children through the fifth grade and our summer camp which serves children through the third grade.  

We hold monthly professional trainings to educate local professionals on how to better serve special needs children so we would then be able to incorporate a training series on sensory integration methods and models for children during the school day. ",,,,,
Town of Lexington,2016 Community Endowment of Lexington Grant Program,Community Building,0,10000,"The requested grant is intended to provide seed funds to enable the renewal of a professionally conducted effort to gather and process community-wide information on citizen values, needs and effective demands with regard to Lexington’s future.    The goal is to prepare the renewal of the town-wide survey taking into account demographic changes in the community and establishing the structure for subsequent longitudinal studies.  A successful project would lead to a request to the Town Manager/Board of Selectmen for a Town-funded project to conduct the survey and study the following year.

Since its formal creation in 2000 the Lexington 20/20 Vision Committee has periodically conducted town-wide meetings and formal surveys that have generated both quantitative and qualitative data to help guide its initiatives relating to Lexington’s long-term future.     Building upon its most recent survey of 2013, the 20/20 Vision Committee is preparing to renew its broad-based citizen input to allow for longtime residents and newly arrived population groups in town to express their concerns regarding housing, economic and social diversity, education, open space, civic discourse and other matters affecting community-building and engagement.   ",,,,,
Cotting School,2016 Community Endowment of Lexington Grant Program,Arts & Culture,0,2000,"As a host site for a featured film in next year's festival, we plan to pay the $2,000 to ReelAbiliities as our hosting fee.",,,,,
"Advocates, Inc.",2016 Community Endowment of Lexington Grant Program,Health & Human Services,0,2028," We are requesting support for the Adaptive Cycling for Recreation (ACR) Project with the goal of increasing our capacity for improving physical fitness and promoting wellness through adapted cycling activities based out of our 7 Oakland Street, Lexington, MA site. The ACR primarily serves adult survivors of brain injury and other neurologic diagnoses (i.e. Parkinson’s, Multiple Sclerosis) who are challenged with residual cognitive, physical, emotional and/or sensory symptoms. During the 2015 cycling season (June-November) the ACR supported 17 individuals (combination of individuals from Advocates Brain Injury Residential and Day & Community Services) in riding a total of 117.25 miles, 29 hours and 35 minutes on the Minuteman Bike Path. These outcomes were improved from the 2014 riding season thanks to the funds we received through grants to secure additional cycling equipment (including a grant from CEL). We now have two tandem recumbent cycles available for use which require participants to ride with a staff person or friend. Over the 2015 season several of the participants progressed to being able to independently power, steer, and brake which is why we want to expand our cycle fleet to include a cycle that will enable individuals to enjoy cycling in the least restrictive manner possible.  If funded by CEL, we will purchase one recumbent trike and adaptive accessories necessary for that cycle. An additional benefit of securing a single trike is that we will likely be able to store and use it year-round for indoor conditioning over the winter and during inclement weather using the indoor stationary trainers that we have. This is not possible with the tandems due to limited space. The ARC will continue to facilitate education and advocacy opportunities so that others living in and visiting Lexington can gain access to adaptive cycling opportunities.",,,,,
In Control Family Foundation,2016 Community Endowment of Lexington Grant Program,Health & Human Services,0,10000,"Auto Crashes are by far the #1 killer of teens.  Our training drastically reduces new driver crash rates and we would like to see a larger percentage of Lexington teens participate in our course.  While we understand that many residents can afford to sign up on their own, subsidies from partners/grantors have been found to significantly improve demand from subsidized towns which often leads to a long term spike in enrollment in that community.

We would like to see $10,000 used to subsidize 50 students from Lexington where they would be asked to pay $50 towards the training and the balance of their training costs would be covered by the grant.  In Control would approach the high school and the police department and other community organizations to help promote this program.  We would handle registration and encourage parents to accompany their teens to training in hopes of influencing their driving habits (and encouraging them to model the right behavior).  A list of those 16-25 year old participants (or younger depending on how you define youth) would be maintained via a unique reporting link so that you could identify and follow up with any/all to confirm attendance and hear feedback on the program.",,,,,
Lexington Global Warming Action Coalition,2016 Community Endowment of Lexington Grant Program,Environment,7500,7500,"We are seeking funding to run a ""Sustainability Fair"" for Lexington that highlights, health, energy, resilience, and sustainability in the face of climate change.  We plan to have up to six speakers to present on energy efficiency, sustainable agriculture and healthy food, health consequences of climate change, renewable energy, green schools, transportation, water and other environmental topics.  In addition, we will invite area vendors and provide information tables. To accomplish this we would pay an experienced individual to: coordinate the event which would include: renting space, paying fees or honorariums for speakers, prepare and distribute publicity, and contact and schedule area vendors and environmental groups. 
We propose using space in Lexington High School commons to accommodate table presentations from appropriate organizations and rent the auditorium and /or larger lecture halls for speakers and films to be presented throughout the day; 
Lexington Global Warming Action Coalition has had experience in running two very successful Energy Fairs in the past. This Sustainability Fair will be wider in scope. The role of the event coordinator will be important to provide the hours of preparation needed to attract and coordinate the best presenters and speakers, and coordinate volunteer efforts to market and run the event.",,,,,
Lexington Council for the Arts,2016 Community Endowment of Lexington Grant Program,Arts & Culture,0,5000,"As the Council for the Arts is charged with furthering the appreciation and support of the arts in Lexington, it would do well to let everyone know what is happening.   A lot is happening in Lexington, but if one is ""not in the stream"" they often don't know about it.  Much has been done by the Council to build mechanisms for helping residents know about the arts in town, but more is needed to both inform residents on a global level, and to create on-going information dissemination.  

In the past year, the Council has established a website as a resource where residents can find out about current events and local resources, and established an eMail group for local artists.  In the past two years, the Council has over quadrupled awareness throught its social media outlets. The Council is currently in the planning stages of creating a digital newsletter to be able to send out detailed arts-related information on a semi-annual basis. 

The Council is looking for funds to create a town-wide mailing to both share information about these resources, and to invite residents to donate to a Council fund that would kickstart other community initiatives such as public art  and programming.  All of these goals work toward creating a more vibrant Lexington through arts and culture.",,,,,
Lexington Recreation and Community Programs Department,2016 Community Endowment of Lexington Grant Program,Community Building,0,5000,"The mission of the Lexington Community Center, which is a division of the Recreation and Community Programs Department is to enhance the quality of life for all Lexington residents.  The Priority 1 Guiding Principle of the Community Center is to build community through special events, collaboration, multi-generational activities and drop-in opportunities.  
Our proposal provides an opportunity for building upon special events, family, youth and teen fun nights that we have had success with since the opening of the Center.  We propose to offer 8 Family Fun Nights, a minimum of 4 Teen nights, and  one special community event at the Community Center, between July 2016 and June 2017.  
Family Fun Nights include Family Bingo nights, Family Craft nights, Family Movie nights, and Family Trivia nights in collaboration with the Human Services Department.  
Teen night activities will include a billiards and ping tournament, a March Madness video game tournament and a reverse tie dye night in collaboration with the Cary Memorial Library staff and possibly the LHS SADD Club.
Our special event will be an outdoor picnic/movie night on the grounds of the Community Center.
The funds requested from the Community Endowment of Lexington will be used to purchase the supplies, give-aways, prizes and marketing materials needed to make the events successful.",,,,,
"Special Needs Arts Programs, Inc",2016 Community Endowment of Lexington Grant Program,Health & Human Services,0,10000,"SNAP will pilot an Expressive Arts curriculum within our Special Artists program.  Our participants have autism, down syndrome, and other cognitive and developmental delays.  By combining two and three dimensional art techniques, participants will express their emotions on a given social theme while focusing on the process of creating.  Social themes can include special events, life milestones, and interactions with peers.
Individuals with developmental disabilities often struggle with expressing their feelings in socially appropriate ways.  Expressive Arts will create a more introspective experience for our participants, using art as the medium to better identify and communicate their emotions.  The projects will involve channeling their innermost thoughts and feelings and representing those in a tangible way.  
Prior to each project, participants will be guided through a discussion about the emotions they want to represent.  For example, matching emotions with shapes, colors, and textures.  Participants will then be guided through the process of creating their projects by choosing between several different art materials.  Participants will be able to use different art materials to represent their emotions within the social theme of that class.  The teacher will encourage the participants to talk about and share their projects with peers and to reflect on their feelings while in the creative process.
Art and the creative process can help these individuals to engage in all of the senses and various techniques and aspects that art has to offer, which is valuable for reducing stress and achieving personal insight.  Multi-sensory learning of art will stimulate their curiosity and our introspective approach will help them to better identify and communicate their emotions.
SNAP will use the requested funds to pay our teacher, purchases supplies and offset a portion of the overhead to facilitate this program.",,,,,
Lexington Fire Department,2016 Community Endowment of Lexington Grant Program,Environment,0,2500,"This is an opportunity for Lexington to reinvigorate the Local Emergency Planning Committee (LEPC). Since 1986, it has been an unfunded Federal mandate for cities and towns nationwide to become more familiar with businesses that store, manage or transport hazardous materials. With this proposal, Lexington will be able to hire a Hazardous Materials Consultant who will be able to review existing protocols and update these protocols for any current trends in the industry. Recent concerns from a town organization called Sustainable Lexington have alerted us to potential concerns of heightened storm activity due to climate change. Hazardous materials that are exposed to surface waters may cause pollution concerns. In addition, a recent report by Todd Dresser of Louriero Associates performed a study of LEPC's and found only a small percentage were fully active. One of the reasons of low level of utilization of the LEPC authority is a lack of funding assistance. Although Lexington's LEPC is ahead of many other communities is ahead of other communities in terms of support for LEPC, there is much more that can be done. Any additional investment is one that pays for itself in enhanced safety and avoids costly environmental clean up, work stoppage, and community disruption. As the frequency of storm events increases, the value of avoiding these problems increases. 
Since Lexington has not had a significant threat or release of Hazardous Material it is often difficult to request additional funding during our annual budget process. That is why this grant proposal to enhance our capabilities is such an important potential program improvement.   ",,,,,
Communities for Restorative Justice,2016 Community Endowment of Lexington Grant Program,Community Building,0,10000,"Communities for Restorative Justice (C4RJ) respectfully requests $10,000 in general funding for our core mission: to provide a healing, inclusive, and cost-effective complement to the criminal justice system whereby victims of crime are given the opportunity to address the person(s) who have harmed them, offenders are held accountable for their actions, and the community provides support. 

C4RJ is a community–police partnership with 15 partner police departments that can refer juvenile or adult cases for resolution through a restorative justice process rather than through the criminal justice system. C4RJ works with the parties affected by crime: victims, offenders, and community members. In a safe setting, victim(s) of a crime address those who have harmed them and explore how the harm may be repaired. Offenders come to understand the impact of their actions, to be accountable for them, and to make amends. Participating community members experience the healing effect of relationships restored after crime. 

C4RJ’s success—measured by rates of offender recidivism and satisfaction among all parties—has generated demand for its services. C4RJ also now works with the Middlesex District Attorney’s Juvenile Diversion Program and is a resource for cases, countywide, involving first-time offenders under 18 who have committed a misdemeanor or low-level felony.

In Lexington, we will build on last year's project. We will continue training efforts with the Lexington Police Department.  We will work with LexMedia to show C4RJ's film, ""Finding Courage,"" introduced by Chief Corr.  We will hold an outreach event to raise awareness. This may be like the event on March 22, 2016 with Representatives Kaufman and Garballey, or a table at the Lexington farmer's market, or a presentation to the Lexington Rotary.  We will continue to recruit volunteers, board members, community liaisons, and donors from Lexington.",,,,,
"Town of Lexington, Office of Public Health",2016 Community Endowment of Lexington Grant Program,Health & Human Services,7500,7500,"Whether it’s hiking on Lexington Conservation trails or just working in your yard, you are at risk for contracting Lyme disease. The Lexington Board of Health and Public Health Office want to educate its citizens of the signs and symptoms of Lyme disease and what you can do to prevent it.  Annual confirmed cases of Lyme disease in Lexington average in the low teens and have remained constant over the last few years. Unconfirmed cases are much higher.
 
Lyme disease is a potentially debilitating bacterial infection spread through the bite of an infected deer tick (Ixodes scapularis).  Most humans are infected through the bite of immature deer ticks called nymphs.  Deer ticks wait in the tall grass or bushes for a mammal to pass by so that they may hitch a ride and at the same time, have a nourishing blood meal.  While extracting blood from the human host, a bacterium (Borrelia burgdorferi) from the tick’s internal systems is transferred. Both nymph (baby) and adult deer ticks can spread the disease, and often go unnoticed because of their small size (no larger than a sesame seed).  First recognized in the mid 1970’s it was named after an unusual outbreak of arthritis near the Town of Lyme, Connecticut. Lyme disease has become well established in this region mostly due to the number of deer populations.

Two thirds of the funds would be used to conduct a one time Research study of public lands in Lexington to determine the Risk Factor for an individual to contract Lyme Disease.  Ticks will be collected in early summer through late Fall.  These ticks will be tested to find out if they carry Lyme Disease.   The Research study will identify habitats in Lexington and they will be mapped, using GPS technology.  As a result of the data collection, an action plan will be developed.  The remaining 1/3 of the funds would be used for public education efforts and to inform the public about the results of the Research  and to promote Tick bite prevention.",,,,,
